No.,Name,Location,Hectares,bandNumber,bandName,address
7967,MISSION 1,NEW WEST. DIST ON N. SHORE OF BURRARD INLET ON WAGG & MOSQUITO CREEKS BOUNDED ON THE N. & E. BY CITY OF N. VANCOUVER,59.6,555,Squamish,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5"
7977,POQUIOSIN & SKAMAIN 13,"NEW WESTMINSTER DISTRICT, ON LEFT BANK OF THE SQUAMISH RIVER AT MOUTH OF THE CHEAKAMUS RIVER",45.2,555,Squamish,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5"
7972,POYAM 9,"NEW WESTMINSTER DISTRICT, ON LEFT BANK OF THE SQUAMISH RIVER",0.3,555,Squamish,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5"
7988,SCHALTUUCH 27,"NEW WESTMINSTER DIST., SMALL ISLAND NORTH OF SHELTER ISLAND IN SHOAL CHANNEL OF HOWE SOUND, W. OF KEATS ISLAND",0.2,555,Squamish,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5"
7980,SEAICHEM 16,"NEW WESTMINSTER DIST, ON EAST BANK OF KOWTAIN SLOUGH OF THE SQUAMISH RIVER, 3 MILES BELOW MOUTH OF CHEAKAMUS RIVER",27.5,555,Squamish,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5"
7968,SEYMOUR CREEK 2,"NEW WESTMINSTER DIST. ON N. SHORE OF BURRARD INLET, ON RIGHT BANK OF SEYMOUR CREEK, NEAR MOUTH OF SECOND NARROWS",45.5,555,Squamish,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5"
7970,SKOWISHIN 7,"NEW WESTMINSTER DISTRICT, ON LEFT BANK OF THE SQUAMISH RIVER BETWEEN LOTS 1178 AND 1518",29.6,555,Squamish,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5"
7974,SKOWISHIN GRAVEYARD 10,"NEW WESTMINSTER DISTRICT, ON LEFT BANK OF THE SQUAMISH RIVER NEAR MOUTH OF ASHLU CREEK, OPPOSITE LOT 986",0.4,555,Squamish,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5"
7984,STAWAMUS 24,"NEW WESTMINSTER DISTRICT, LOT 4267,G.1, AT MOUTH OF STAWAMUS RIVER HEAD OF HOWE SOUND 1 MILE S.E. OF SQUAMISH",22.1,555,Squamish,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5"
7978,WAIWAKUM 14,"NEW WESTMINSTER DISTRICT, ON LEFT BANK OF THE SQUAMISH RIVER 2 MILES BELOW MOUTH OF THE CHEAKAMUS RIVER",15.0,555,Squamish,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5"
7982,YEKWAUPSUM 18,"NEW WESTMINSTER DIST. LOT 4263,G.1, NEAR LEFT BANK OF SQUAMISH RIVER, 3 MILES FROM MOUTH ON HOWE SOUND",2.0,555,Squamish,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5"
7983,YEKWAUPSUM 19,"NEW WESTMINSTER DISTRICT, ON RIGHT BANK OF SQUAMISH RIVER, 3 MILES NORTH OF MOUTH OF HOWE SOUND",1.0,555,Squamish,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5"
7976,YOOKWITZ 12,"NEW WESTMINSTER DISTRICT, ON RIGHT BANK OF SQUAMISH RIVER, OPPOSITE MOUTH OF THE CHEAKAMUS RIVER",9.3,555,Squamish,"PO BOX 86131, NORTH VANCOUVER, BC, V7L 4J5"
8367,ANDERSON LAKE 5,"LILLOOET DISTRICT, LOT 23021",594.6,556,N'Quatqua,"PO BOX 88, D'ARCY, BC, V0N 1L0"
7991,NEQUATQUE 1,LILLOOET DISTRICT AT HEAD OF ANDERSON LAKE AT MOUTH OF THE GATES RIVER,177.0,556,N'Quatqua,"PO BOX 88, D'ARCY, BC, V0N 1L0"
7992,NEQUATQUE 2,LILLOOET DISTRICT ON EAST SIDE OF THE GATES RIVER 2 MILES FROM MOUTH ON ANDERSON LAKE,7.1,556,N'Quatqua,"PO BOX 88, D'ARCY, BC, V0N 1L0"
7993,NEQUATQUE 3,LILLOOET DISTRICT ON WEST SIDE OF THE GATES RIVER TWO MILES FROM MOUTH ON ANDERSON LAKE,8.1,556,N'Quatqua,"PO BOX 88, D'ARCY, BC, V0N 1L0"
7994,NEQUATQUE 3A,"LILLOOET DIST LOT 5545,G.1. WEST SIDE OF GATES RIVER 2 1/4 MILES FROM MOUTH OF ANDERSON LAKE SOUTH OF AND NEAR I.R. NO. 3",9.5,556,N'Quatqua,"PO BOX 88, D'ARCY, BC, V0N 1L0"
7995,NEQUATQUE 4,LILLOOET DISTRICT ON EAST SIDE OF THE GATES RIVER 6 MILES ABOVE HEAD OF ANDERSON LAKE,8.0,556,N'Quatqua,"PO BOX 88, D'ARCY, BC, V0N 1L0"
8000,CHALLETKOHUM 5,"NEW WESTMINSTER DISTRICT, ON LEFT BANK OF LILLOOET RIVER 1 MILE NORTH OF BAPTISTE SMITH I.R. NO 1B",0.6,557,Lil'wat Nation,"PO BOX 602, MOUNT CURRIE, BC, V0N 2K0"
8004,CHALLETKOHUM 9,"NEW WESTMINSTER DISTRICT, ON LEFT BANK OF LILLOOET RIVER EAST OF I.R. NO 5, DESIGNATED LOT 3863 GR. 1",1.5,557,Lil'wat Nation,"PO BOX 602, MOUNT CURRIE, BC, V0N 2K0"
7999,LOKLA 4,LILLOOET DISTRICT ON LEFT BANK OF BIRKENHEAD RIVER 5 MILES NORTH OF PEMBERTON I.R. NO. 1,6.6,557,Lil'wat Nation,"PO BOX 602, MOUNT CURRIE, BC, V0N 2K0"
7996,MOUNT CURRIE 1,LILLOOET DISTRICT AT CONFLUENCE OF LILLOOET AND BURKENHEAD RIVERS,77.9,557,Lil'wat Nation,"PO BOX 602, MOUNT CURRIE, BC, V0N 2K0"
8005,MOUNT CURRIE 10,W/O OF/DE CREEKSIDE,47.1,557,Lil'wat Nation,"PO BOX 602, MOUNT CURRIE, BC, V0N 2K0"
7997,MOUNT CURRIE 2,LILLOOET DISTRICT ON ISLAND IN PEMBERTON RIVER 2 MILES WEST OF I.R. NO. 1.,61.4,557,Lil'wat Nation,"PO BOX 602, MOUNT CURRIE, BC, V0N 2K0"
8001,MOUNT CURRIE 6,"LILLOOET DISTRICT, LEFT BANK OF LILLOOET RIVER NORTH OF RESERVE NO. 3",1619.0,557,Lil'wat Nation,"PO BOX 602, MOUNT CURRIE, BC, V0N 2K0"
8002,MOUNT CURRIE 7,LILLOOET DISTRICT ON NORTH SIDE OF I.R. NO. 6,129.5,557,Lil'wat Nation,"PO BOX 602, MOUNT CURRIE, BC, V0N 2K0"
8003,MOUNT CURRIE 8,"LILLOOET DIST. DESG. LOTS 98&99, G.1. ON THE ISLAND IN LILL- OOET RVE, AT THE CONF. OF BIRKENHEAD RVR, BTWN RESV. 1 & 3",332.3,557,Lil'wat Nation,"PO BOX 602, MOUNT CURRIE, BC, V0N 2K0"
7998,NESUCH 3,LILLOOET DISTRICT ON RIGHT BANK OF LILLOOET RIVER AT NORTH END OF LILLOOET LAKE,418.4,557,Lil'wat Nation,"PO BOX 602, MOUNT CURRIE, BC, V0N 2K0"
8009,COQUITLAM 1,"NEW WESTMINSTER DISTRICT, IN TP.38, W.C.M., ON RIGHT BANK OF THE COQUITLAM RIVER, 4 MILES EAST OF NEW WESTMINSTER",2.6,560,Kwikwetlem First Nation,"2 - 65 COLONY FARM ROAD, COQUITLAM, BC, V3C 5X9"
8010,COQUITLAM 2,"NEW WESTMINSTER DISTRICT, IN TPS. 38&39, W.C.M. ON LEFT BANK OF THE COQUITLAM RVR, 2 MILES FROM MOUTH ON FRASER RVR",81.9,560,Kwikwetlem First Nation,"2 - 65 COLONY FARM ROAD, COQUITLAM, BC, V3C 5X9"
8021,FRANKS 10,"NEW WESTMINSTER DIST., ON LEFT BANK OF THE LILLOOET RIVER, AAT 11 MILE POST OF THE DOUGLAS PORTAGE",44.9,562,Skatin Nations,"PO Box 478, Mount Currie, BC, V0N 2K0"
8023,GLAZIER CREEK 12,"NEW WESTMINSTER DISTRICT, DESIGNATED LOT 5533, ON RIGHT BANK OF SNOWCAP CREEK, AT SOUTH END OF GLACIER LAKE",113.3,562,Skatin Nations,"PO Box 478, Mount Currie, BC, V0N 2K0"
8020,MORTEEN 9,NEW WESTMINSTER DIST ON LEFT BANK OF THE LILLOOER RIVER SKOOKUMCHUCK I.R. NO. 4A ADJOINS ON THE NORTH,50.6,562,Skatin Nations,"PO Box 478, Mount Currie, BC, V0N 2K0"
8022,PERRETS 11,"NEW WESTMINSTER DISTRICT, ON LEFT BANK OF THE LILLOOET RIVER AT THE 10 MILE POST OF THE DOUGLAS PORTAGE",12.1,562,Skatin Nations,"PO Box 478, Mount Currie, BC, V0N 2K0"
8017,SKLAHHESTEN 5,"NEW WESTMINSTER DIST, AT THE 14 MILE POST ON THE SOUGLAS PORTAGE, LILLOOET RIVER",32.0,562,Skatin Nations,"PO Box 478, Mount Currie, BC, V0N 2K0"
8018,SKLAHHESTEN 5A,"NEW WESTMINISTER DISTRICT, ON LEFT BANK OF THE LILLOOET RIVER ADJOINING I.R. NO. 5 ON THE NORTH SIDE",74.9,562,Skatin Nations,"PO Box 478, Mount Currie, BC, V0N 2K0"
8019,SKLAHHESTEN 5B,"NEW WESTMINSTER DISTRICT, DESIGNATED LOT 5534, ON LEFT BANK OF LILLOOET RIVER",35.2,562,Skatin Nations,"PO Box 478, Mount Currie, BC, V0N 2K0"
8015,SKOOKUMCHUCK 4,"NEW WESTMINSTER DISTRICT AT THE 19 MILE POST ON THE DOUGLAS PORTAGE, LILLOOET RIVER",212.9,562,Skatin Nations,"PO Box 478, Mount Currie, BC, V0N 2K0"
8016,SKOOKUMCHUCK 4A,"NEW WESTMINSTER DISTRICT, ON LEFT BANK OF THE LILLOOET RIVER SOUTHEAST OF I.R. NO. 4",86.2,562,Skatin Nations,"PO Box 478, Mount Currie, BC, V0N 2K0"
8014,SWEETEEN 3,"NEW WESTMINSTER DISTRICT, NEAR THE 21 MILE POST ON THE DOUGLAS PORTAGE, ILLOOET RIVER",14.5,562,Skatin Nations,"PO Box 478, Mount Currie, BC, V0N 2K0"
8026,BARNSTON ISLAND 3,"NEW WESTMINSTER DIST. IN SEC. 4, TP. 9, E.C.M. ON SOUTH SHORE OF BARNSTON ISLAND ON PARSONS CHNL FRASER RIVER",54.6,563,Katzie,"10946 KATZIE ROAD, PITT MEADOWS, BC, V3Y 2G6"
8028,GRAVEYARD 5,"NEW WESTMINSTER DISTRICT, IN TP.9, E.C.M. N.W. CORNER OF LOT 279, G.1, 1 MILE NORTH OF PORT HAMMOND",0.4,563,Katzie,"10946 KATZIE ROAD, PITT MEADOWS, BC, V3Y 2G6"
8024,KATZIE 1,"NEW WESTMINSTER DISTRICT, IN SECTION 10. TP. 9,E.C.M. ON RIGHT BANK OF THE FRASER RIVER, 1 MILE WEST OF PORT HAMMOND",43.1,563,Katzie,"10946 KATZIE ROAD, PITT MEADOWS, BC, V3Y 2G6"
8025,KATZIE 2,"NEW WESTMINSTER DIST. IN SECTION 11, TP.9,E.C.M. ON LEFT BANK OF THE FRAZER RIVER, OPPOSITE PORT HAMMOND",23.1,563,Katzie,"10946 KATZIE ROAD, PITT MEADOWS, BC, V3Y 2G6"
8027,PITT LAKE 4,"NEW WESTMINSTER DISTRICT, IN SECS. 3&4, TP.5, W.7M, AT SOUTH END OF PITT LAKE, AT OUTLET INTO PITT RIVER",214.0,563,Katzie,"10946 KATZIE ROAD, PITT MEADOWS, BC, V3Y 2G6"
8030,LANGLEY 2,"NEW WEST. DIST. IN SEC. 3,TP.15,E.C.M. ON RIGHT BANK OF THE STAVE RIVER 1 MLE FROM MOUTH ON NORTH BANK OF FRASER RIVER",58.3,564,Kwantlen First Nation,"23690 GABRIEL LANE, PO BOX 108, FORT LANGLEY, BC, V1M 2R4"
8031,LANGLEY 3,"NEW WEST. DIST. IN SEC. 34,TP14 & SEC. 3 TP15,E.C.M. LTS 444 &445,G.1 ISLAND AT MOUTH OF STAVE RVR N BANK FRASER RIVER",40.9,564,Kwantlen First Nation,"23690 GABRIEL LANE, PO BOX 108, FORT LANGLEY, BC, V1M 2R4"
8032,LANGLEY 4,"NEW WESTMINSTER DISTRICT IN SECTION 2, TP15,E.C.M. ON LEFT BANAT THE MOUTH OF STAVE RIVER",93.4,564,Kwantlen First Nation,"23690 GABRIEL LANE, PO BOX 108, FORT LANGLEY, BC, V1M 2R4"
8033,LANGLEY 5,"NEW WEST. DIST. IN SEC 34&35,TP.11 & SECS.2&3,TP.12,E.C.M. ON RIGHT BANK OF THE FRASER RVR 2 MILES NE. OF FORT LANGLEY",140.6,564,Kwantlen First Nation,"23690 GABRIEL LANE, PO BOX 108, FORT LANGLEY, BC, V1M 2R4"
8034,MCMILLAN ISLAND 6,"NEW WESTMINSTER DISTRICT IN SECTION 4, TP.11 & SECS 33&34, TP.12, E.C.M. ENTIRE ISLAND IN THE FRASER RIVER",191.0,564,Kwantlen First Nation,"23690 GABRIEL LANE, PO BOX 108, FORT LANGLEY, BC, V1M 2R4"
9657,PEKW'XE:YLES (PECKQUAYLIS),,10.3,558,Aitchelitz,"8161 AITCHELITZ ROAD, CHILLIWACK, BC, V2R 4H4"
8029,WHONNOCK 1,"NEW WESTMINSTER DISTRICT, IN TPS 14&15, E.C.M. ON RIGHT BANK OF FRASER RVR, BTW LTS 4533&441, 1 MLE E. OF WHONOCK",34.4,583,Chawathil,"4-60814 LOUGHEED HIGHWAY, HOPE, BC, V0X 1L3"
8040,PAQULH,"NEW WESTMINISTER DIST. AT THE NORTH END OF LITTLE LILLOOET LAKE, KNOWN AS LOT 5536, GP. 1, N.W.D.",21.7,567,Samahquam,"PO BOX 610, MOUNT CURRIE, BC, V0N 2K0"
8041,Q'ALATKU7EM,"NEW WESTMINISTER DIST. KNOWN AS LOT 5535, GR. 1, N.W.D. ON WEST SIDE OF LITTLE LILLOOET LAKE",28.7,567,Samahquam,"PO BOX 610, MOUNT CURRIE, BC, V0N 2K0"
8042,SACHTEEN 2,"NEW WETMINSTER DISTRICT, NEAR 23 MILE POST ON THE DOUGLAS PORTAGE, ILLOOET RIVER",6.0,567,Samahquam,"PO BOX 610, MOUNT CURRIE, BC, V0N 2K0"
8043,SACHTEEN 2A,"NEW WESTMINSTER DISTRICT, ADJOINING I.R. NO 2, ON THE SOUTH",20.2,567,Samahquam,"PO BOX 610, MOUNT CURRIE, BC, V0N 2K0"
8039,SAMAHQUAM 1,"NEW WESTMINSTER DISTRICT, AT THE 24 MILE POST ON THE DOUGLAS PORTAGE, LILLOOET RIVER",100.7,567,Samahquam,"PO BOX 610, MOUNT CURRIE, BC, V0N 2K0"
9657,PEKW'XE:YLES (PECKQUAYLIS),,10.3,558,Aitchelitz,"8161 AITCHELITZ ROAD, CHILLIWACK, BC, V2R 4H4"
8044,SCOWLITZ 1,"NEW WESTMINSTER DISTRICT, IN TP.3,R.30,W.6M, AT THE OUTLET OF HARRISON BAY, NORTH OF FRASER RIVER",69.0,583,Chawathil,"4-60814 LOUGHEED HIGHWAY, HOPE, BC, V0X 1L3"
8046,SQUAWKUM CREEK 3,"NEW WESTMINSTER DISTRICT, IN TP.24,E.C.M., AND TP.3,R.30, W.6M ON SOUTHWEST SHORE OF HARRISON BAY",158.0,584,Cheam,"52161 Victor Drive, Rosedale, BC, V0X 1X1"
8045,WILLIAMS 2,"NEW WESTMINSTER DISTRICT, IN TP3, R30,W.6M, ON RIGHT BANK OF HARRISON RIVER, WEST OF SCOWLITZ I.R. NO. 1",9.7,564,Kwantlen First Nation,"23690 GABRIEL LANE, PO BOX 108, FORT LANGLEY, BC, V1M 2R4"
8113,GRASS 15,"NEW WESTMINSTER DISTRICT, IN SEC 22 TWP 26 E.C.M. 3 1/2 MILES SOUTHEAST OF CHILLIWACK",64.8,558,Aitchelitz,"8161 AITCHELITZ ROAD, CHILLIWACK, BC, V2R 4H4"
9657,PEKW'XE:YLES (PECKQUAYLIS),,10.3,580,Kwaw-kwaw-Apilt,"BLDG#10 3RD FLOOR, 7201 VEDDER RD, CHILLIWACK, BC, V2R 4L9"
8049,SKOWKALE 10,"NEW WESTMINISTER DISTRICT, IN TWP 26 ECM 1 MILE EAST OF SARDIS",55.0,570,Shxwhá:y Village,"44680 SCHWEYEY ROAD, CHILLIWACK, BC, V2R 5M5"
8050,SKOWKALE 11,"NEW WESTMINSTER DISTRICT, IN TP.26, E.C.M., 1/2 MILE EAST OF SARDIS",12.3,571,Skowkale,"PO BOX 2159, SARDIS, BC, V2R 1A7"
8113,GRASS 15,"NEW WESTMINSTER DISTRICT, IN SEC 22 TWP 26 E.C.M. 3 1/2 MILES SOUTHEAST OF CHILLIWACK",64.8,558,Aitchelitz,"8161 AITCHELITZ ROAD, CHILLIWACK, BC, V2R 4H4"
9657,PEKW'XE:YLES (PECKQUAYLIS),,10.3,580,Kwaw-kwaw-Apilt,"BLDG#10 3RD FLOOR, 7201 VEDDER RD, CHILLIWACK, BC, V2R 4L9"
8051,SOOWAHLIE 14,"NEW WESTMINSTER DIST. ON LEFT BANK OF THE CHILLIWACK RIVER, 1 MILE SOUTH OF VEDDER CROSSING",458.3,570,Shxwhá:y Village,"44680 SCHWEYEY ROAD, CHILLIWACK, BC, V2R 5M5"
8113,GRASS 15,"NEW WESTMINSTER DISTRICT, IN SEC 22 TWP 26 E.C.M. 3 1/2 MILES SOUTHEAST OF CHILLIWACK",64.8,558,Aitchelitz,"8161 AITCHELITZ ROAD, CHILLIWACK, BC, V2R 4H4"
9657,PEKW'XE:YLES (PECKQUAYLIS),,10.3,580,Kwaw-kwaw-Apilt,"BLDG#10 3RD FLOOR, 7201 VEDDER RD, CHILLIWACK, BC, V2R 4L9"
8114,SKUMALASPH 16,NEW WESTMINSTER DISTRICT 6 MILES NORTHWEST OF CHILLIWACK,468.4,570,Shxwhá:y Village,"44680 SCHWEYEY ROAD, CHILLIWACK, BC, V2R 5M5"
8056,SQUIAALA 7,NEW WESTMINSTER DISTRICT IN TWP 23 E.C.M. ON RIGHT BANK OF CHILLIWACK CREEK 2 MILES SOUTHWEST OF CHILLIWACK,86.6,571,Skowkale,"PO BOX 2159, SARDIS, BC, V2R 1A7"
8057,SQUIAALA 8,"NEW WESTMINSTER DISTRICT IN TWP 23 E.C.M. ON LEFT BANK OF CHILLIWACK RIVER AT ITS MOUTH, NORTH OF LOT 270, C.G.",46.5,573,Skwah,"PO BOX 178, CHILLIWACK, BC, V2P 6H7"
8113,GRASS 15,"NEW WESTMINSTER DISTRICT, IN SEC 22 TWP 26 E.C.M. 3 1/2 MILES SOUTHEAST OF CHILLIWACK",64.8,558,Aitchelitz,"8161 AITCHELITZ ROAD, CHILLIWACK, BC, V2R 4H4"
9657,PEKW'XE:YLES (PECKQUAYLIS),,10.3,580,Kwaw-kwaw-Apilt,"BLDG#10 3RD FLOOR, 7201 VEDDER RD, CHILLIWACK, BC, V2R 4L9"
8058,TZEACHTEN 13,"NEW WESTMINISTER DISTRICT, IN TWP 26 ECM 2 MILES SOUTH OF SARDIS",283.8,570,Shxwhá:y Village,"44680 SCHWEYEY ROAD, CHILLIWACK, BC, V2R 5M5"
8060,TSAWWASSEN,NEW WESTMINSTER DISTRICT TWP 5 ON STRAIT OF GEORGIA 1 MILE N OF INTERNATIONAL BOUNDARY & 5 MILES S OF LADNER,272.6,577,Tsawwassen First Nation,"1926 TSAWWASSEN DR. N., DELTA, BC, V4M 4G4"
8066,AYLECHOOTLOOK 5,"NEW WESTMINSTER DIST. IN SEC 13 TWP 20 ECM AT JUNCTION OF SUMAS RIVER AND VEDDER CANAL, NORTH OF LOT 366 C.G.",8.1,579,Leq'á:mel First Nation,"43101 LEQ'A: MEL WAY, DEROCHE, BC, V0M 1G0"
8067,HOLACHTEN 8,NEW WESTMINSTER DIST. IN SEC 9 15 & 16 TWP 24 ECM ON RIGHT BANK OF NICOMEN SLOUGH OF THE FRASER RIVER,110.5,579,Leq'á:mel First Nation,"43101 LEQ'A: MEL WAY, DEROCHE, BC, V0M 1G0"
8063,LACKAWAY 2,NEW WESTMINSTER DIST. IN SEC 20 TWP 23 ECM ON LEFT BANK OF THE FRASER RIVER AT MOUTH OF WILSON SLOUGH,15.8,579,Leq'á:mel First Nation,"43101 LEQ'A: MEL WAY, DEROCHE, BC, V0M 1G0"
8070,LAKAHAHMEN 11,NEW WESTMINSTER DIST. IN SECS. 5&6 TP24 ECM ON RIGHT BANK OF NICOMEN SLOUGH AT FRASER RIVER AT MOUTH OF DEROCHE CREEK,38.1,579,Leq'á:mel First Nation,"43101 LEQ'A: MEL WAY, DEROCHE, BC, V0M 1G0"
8064,LAKWAY CEMETERY 3,"NEW WESTMINSTER DIST. IN SEC.21&28,TP.23,ECM ON LEFT BANK OF FRASER RIVER 1/2 MILE E OF MOUTH OF WILSON SLOUGH",4.0,579,Leq'á:mel First Nation,"43101 LEQ'A: MEL WAY, DEROCHE, BC, V0M 1G0"
8065,PAPEKWATCHIN 4,"NEW WESTMINSTER DISTRICT, IN SEC. 23 TO 26, TP.20, ECM ON SOUTH SHORE OF NICOMEN ISLAND, FRASER RIVER",95.1,579,Leq'á:mel First Nation,"43101 LEQ'A: MEL WAY, DEROCHE, BC, V0M 1G0"
9657,PEKW'XE:YLES (PECKQUAYLIS),,10.3,558,Aitchelitz,"8161 AITCHELITZ ROAD, CHILLIWACK, BC, V2R 4H4"
8069,SKWEAHM 10,"NEW WESTMINSTER DISTRICT ON LEFT BANK OF NICOMA SLOUGH, 1 MILE SOUTH OF DEROCHE C.P. STATION",69.4,583,Chawathil,"4-60814 LOUGHEED HIGHWAY, HOPE, BC, V0X 1L3"
8071,SUMAS CEMETERY 12,"NEW WESTMINSTER DISTRICT, ON LEFT BANK OF FRASER RIVER, NEAR MOUTH OF SUMAS RIVER",2.5,584,Cheam,"52161 Victor Drive, Rosedale, BC, V0X 1X1"
8062,YAALSTRICK 1,"NEW WESTMINSTER DISTRICT, AN ISLAND IN THE FRASER RIVER, 2 MILES SOUTHEAST OF DEROCHE C.P. STATION",114.9,564,Kwantlen First Nation,"23690 GABRIEL LANE, PO BOX 108, FORT LANGLEY, BC, V1M 2R4"
8068,ZAITSCULLACHAN 9,"NEW WESTMINISTER DIST, IN SEC 5 ON RIGHT BANK OF ZAITS-CULLACHAN SLOUGH, FRASER RIVER",22.5,580,Kwaw-kwaw-Apilt,"BLDG#10 3RD FLOOR, 7201 VEDDER RD, CHILLIWACK, BC, V2R 4L9"
9657,PEKW'XE:YLES (PECKQUAYLIS),,10.3,558,Aitchelitz,"8161 AITCHELITZ ROAD, CHILLIWACK, BC, V2R 4H4"
8073,SEABIRD ISLAND,YALE DISTRICT IN TWPS 3 & 4 RGE 28 W6M ON SEABIRD ISLAND IN FRASER RIVER 2 MILES EAST OF AGASSIZ,2179.8,583,Chawathil,"4-60814 LOUGHEED HIGHWAY, HOPE, BC, V0X 1L3"
9657,PEKW'XE:YLES (PECKQUAYLIS),,10.3,558,Aitchelitz,"8161 AITCHELITZ ROAD, CHILLIWACK, BC, V2R 4H4"
8075,RUBY CREEK 2,"YALE DISTRICT SEC 5 TWP 5 RGE 27 & SEC 32 TWP 4 RGE 27 W6M ON RIGHT BANK OF FRASER RIVER, AT MOUTH OF RUBY CREEK",16.6,583,Chawathil,"4-60814 LOUGHEED HIGHWAY, HOPE, BC, V0X 1L3"
8074,SKAWAHLOOK 1,"YALE DIST. IN SECS. 4&5,TP5,R27,W.6M, ON RIGHT BANK OF THE FRASER RIVER, 1 MILE N.E. OF RUBY CREEK",58.3,584,Cheam,"52161 Victor Drive, Rosedale, BC, V0X 1X1"
8081,CHEAM 1,"NEW WESTMINSTER. DIST. IN SECS. 6&7, TP.3, R.28, SECS. 1 &12, TP3, R29,W6M LFT BANK FRASER RVR & N SHORE CHEAM LAKE",305.1,584,Cheam,"52161 Victor Drive, Rosedale, BC, V0X 1X1"
9657,PEKW'XE:YLES (PECKQUAYLIS),,10.3,558,Aitchelitz,"8161 AITCHELITZ ROAD, CHILLIWACK, BC, V2R 4H4"
8082,TSEATAH 2,"NEW WESTMINSTER DISTRICT, IN TP3,R28,W.6M, ON RIGHT BANK OF FRASER RIVER, 2 MILES SOUTH OF AGASSIZ",157.8,583,Chawathil,"4-60814 LOUGHEED HIGHWAY, HOPE, BC, V0X 1L3"
8089,KUTHLALTH 3,"YALE DIST IN SECS 12&3, TP7,R26,, SECS. 7&18, TP7,R25,W.6M ON LEFT BANK OF THE FRASER RIVER EAST OF YALE",141.8,587,Shxw'ow'hamel First Nation,"58700A ST. ELMO ROAD, HOPE, BC, V0X 1L2"
8087,OHAMIL 1,"YALE DISTRICT IN TP4,R.27,W.6M, ON LEFT BANK OF FRASER RIVER NORTH OF LAIDLAW C.N.STATION",163.5,587,Shxw'ow'hamel First Nation,"58700A ST. ELMO ROAD, HOPE, BC, V0X 1L2"
9657,PEKW'XE:YLES (PECKQUAYLIS),,10.3,558,Aitchelitz,"8161 AITCHELITZ ROAD, CHILLIWACK, BC, V2R 4H4"
8088,WAHLEACH ISLAND 2,"YALE DISTRICT, ON RIGHT BANK OF THE FRASER RIVER, 2 MILES SOUTHWEST OF RUBY CREEK",56.5,583,Chawathil,"4-60814 LOUGHEED HIGHWAY, HOPE, BC, V0X 1L3"
8095,AYWAWWIS 15,"YALE DIST. IN SEC15,22, & BANK OF THE FRASER RIVER, N. OF MOUTH OF THE COQUIHALLA RIV.",89.5,588,Union Bar First Nation,"66427 KAWKAWA LAKE RD, HOPE, BC, V0X 1L1"
8096,KAWKAWA LAKE 16,"YALE DISTRICT, IN SECTIONS 11 AND 14, TP.5,R26,W.6M, ON SOUTHEAST SHORE OF KAWKAWA LAKE",6.5,588,Union Bar First Nation,"66427 KAWKAWA LAKE RD, HOPE, BC, V0X 1L1"
8092,KLAKLACUM 12,"YALE DISTRICT IN SECS. 27&28, TP.5,R.26,W.6M, ON RIGHT BANK OF THE FRASER RIVER 3 MILES NORTH OF HOPE",26.2,588,Union Bar First Nation,"66427 KAWKAWA LAKE RD, HOPE, BC, V0X 1L1"
8091,PUCKATHOLETCHIN 11,"YALE DIST. IN SECS. 33&34, TP.5,R.26, SECS. 3,4,9&10, TP.6, R.26,W.6M, RIGHT BANK OF FRASER RIVER, 4 MLS N. OF HOPE",219.0,588,Union Bar First Nation,"66427 KAWKAWA LAKE RD, HOPE, BC, V0X 1L1"
8090,SKAWAHLUM 10,"YALE DIST. IN SECS. 3&10, TO6,R26,W.6M ON RIGHT BANK OF THE FRASER RIVER, 5 MILES NORTH OF HOPE",6.0,588,Union Bar First Nation,"66427 KAWKAWA LAKE RD, HOPE, BC, V0X 1L1"
8094,SWAHLISEAH 14,"YALE DISTRICT, ON LEFT BANK OF THE FRASER RIVER, 1/2 MILE SOUTH OF TRAFALGAR C.N. STATION",86.3,588,Union Bar First Nation,"66427 KAWKAWA LAKE RD, HOPE, BC, V0X 1L1"
8093,TRAFALGAR FLAT 13,"YALE DISTRICT, ON LEFT BANK OF THE FRASER RIVER, 2.5 MILES NORTH OF HOPE",66.2,588,Union Bar First Nation,"66427 KAWKAWA LAKE RD, HOPE, BC, V0X 1L1"
8098,4 1/2 MILE 2,"YALE DISTRICT, IN SECS. 35&36, TP.6, T.26, W.6M ON RIGHT BANK OF THE FRASER RIVER, 3 MLS N.E. OF YALE",4.3,589,Yale First Nation,"PO BOX 1869, HOPE, BC, V0X 1L0"
8100,ALBERT FLAT 5,"YALE DISTRICT, ON RIGHT BANK OF THE FRASER RIVER, 3 MILES SOUTH OF YALE",52.3,589,Yale First Nation,"PO BOX 1869, HOPE, BC, V0X 1L0"
